Year,cd,Bachelors_degree_or_higher,high_school_or_some_degree,Less_than_high_school_graduate
2020,9_NY,66848,110234,21415
2020,9_OH,127438,367385,44223
2020,9_PA,125473,395006,56799
2020,9_TN,181276,371238,64244
2020,9_TX,263436,500295,175278
2020,9_VA,113740,348767,50985
2020,9_WA,308742,370681,71044
2021,0_AK,122648,306728,33268
2021,0_DC,277110,166206,31617
2021,0_DE,182184,352119,55892
2021,0_ND,140119,303734,28298
2021,0_PR,561182,1191468,257422
2021,0_SD,143545,320660,41351
2021,0_VT,145677,227099,24841
2021,0_WY,81404,211910,22337
2021,1_AL,95574,256311,44535
2021,1_AR,98152,397182,66464
2021,1_AZ,233324,271758,45332
2021,1_CA,82003,278434,55092
2021,1_CO,189993,144669,31827
2021,1_CT,153674,241340,37601
2021,1_FL,132573,313339,43576
2021,1_GA,114244,305992,52943
2021,1_HI,172259,298934,28759
2021,1_IA,155566,338952,35078
2021,1_ID,172900,418877,60011
2021,1_IL,42580,48559,5322
2021,1_IN,100769,282374,37691
2021,1_KS,66936,193540,36776
2021,1_KY,59791,251544,39516
2021,1_LA,82590,188126,40169
2021,1_MA,150090,318584,49550
2021,1_MD,126637,263890,34600
2021,1_ME,154309,232395,21893
2021,1_MI,108615,324805,38940
2021,1_MN,135485,303768,34273
2021,1_MO,139053,262799,39632
2021,1_MS,89236,279476,54828
2021,1_MT,109528,201423,19482
2021,1_NC,45454,185163,37478
2021,1_NE,82205,141481,17528
2021,1_NH,140271,220845,22866
2021,1_NJ,163027,284491,39234
2021,1_NM,137722,281929,50303
2021,1_NV,56239,255163,91321
2021,1_NY,261740,332150,54326
2021,1_OH,310946,427422,56455
2021,1_OK,102952,191740,36751
2021,1_OR,168832,178461,26158
2021,1_PA,258112,307774,35525
2021,1_RI,91798,132768,26392
2021,1_SC,110620,164711,22697
2021,1_TN,105185,341245,53994
2021,1_TX,69683,240869,49774
2021,1_UT,92360,229906,27105
2021,1_VA,199910,271058,37510
2021,1_WA,288417,374262,47784
2021,1_WI,172588,384207,48577
2021,1_WV,101244,367015,64940
2021,10_CA,340449,305488,54585
2021,10_FL,234744,425561,67772
2021,10_GA,107599,269644,46606
2021,10_IL,207413,190997,36602
2021,10_MI,115952,282716,40291
2021,10_NC,133412,404429,75854
2021,10_NJ,200204,341551,71461
2021,10_NY,391804,225037,87398
2021,10_OH,117991,296629,39466
2021,10_PA,169187,350788,46476
2021,10_TX,143534,234881,40300
2021,10_VA,296903,219115,41571
2021,10_WA,71178,218348,26272
2021,11_CA,377284,184143,45780
2021,11_FL,103990,232662,39129
2021,11_GA,50830,51877,6331
2021,11_IL,320588,423043,71330
2021,11_MI,220989,198619,24703
2021,11_NC,122226,254943,40348
2021,11_NJ,324600,262827,37316
2021,11_NY,121132,177081,34047
2021,11_OH,177116,362416,60448
2021,11_PA,95951,208621,42514
2021,11_TX,115435,383722,76112
2021,11_VA,181663,79682,14778
2021,12_CA,167786,143527,40250
2021,12_FL,68671,248972,37133
2021,12_GA,89975,289789,53969
2021,12_IL,104355,336594,46127
2021,12_MI,134644,358795,64238
2021,12_NC,114658,147025,23661
2021,12_NJ,146059,132109,17319
2021,12_NY,373927,121828,25878
2021,12_OH,154672,407933,64217
2021,12_PA,205472,278525,26548
2021,12_TX,226836,449232,107213
2021,13_CA,35268,172876,74105
2021,13_FL,112812,209876,28805
2021,13_GA,205331,404055,70895
2021,13_IL,182577,389065,44829
2021,13_MI,74735,239569,55904
2021,13_NC,163468,257340,48139
2021,13_NY,114096,128938,49401
2021,13_OH,185328,383916,43175
2021,13_PA,70265,253857,35090
2021,13_TX,74556,250749,56387
2021,14_CA,205181,223765,47898
2021,14_FL,207028,300950,45324
2021,14_GA,174544,439662,98094
2021,14_IL,102520,250806,37761
2021,14_NC,233477,238833,53144
2021,14_NY,53977,93183,28705
2021,14_OH,99869,284019,40269
2021,14_PA,180791,400488,39581
2021,14_TX,118366,326550,60412
2021,15_CA,128427,113136,20613
2021,15_FL,188100,361438,68312
2021,15_IL,52567,188444,25836
2021,15_NY,160161,459012,177843
2021,15_OH,118539,206576,36751
2021,15_PA,116806,349444,41416
2021,15_TX,33402,93278,47119
2021,16_CA,485948,254754,49771
2021,16_FL,81875,161195,33595
2021,16_IL,44385,117993,12156
2021,16_NY,209806,191433,47627
2021,16_PA,128205,274414,31248
2021,16_TX,117123,314308,68447
2021,17_CA,69348,27210,5107
2021,17_FL,95138,219625,27410
2021,17_IL,162853,415285,58317
2021,17_NY,185745,185739,38558
2021,17_PA,119994,157056,11395
2021,17_TX,95312,242190,45421
2021,18_CA,300563,465580,168923
2021,18_FL,110084,403703,98302
2021,18_NY,141865,254800,36374
2021,18_TX,134782,415797,175980
2021,19_CA,62186,90700,11888
2021,19_FL,138864,306180,56891
2021,19_NY,154210,348716,49202
2021,19_TX,85584,255769,56978
2021,2_AL,109775,340352,66506
2021,2_AR,107369,197487,23258
2021,2_AZ,124197,452351,87226
2021,2_CA,240596,349720,71108
2021,2_CO,322222,347541,44581
2021,2_CT,161476,273074,27525
2021,2_FL,121359,295005,55357
2021,2_GA,72430,230951,44235
2021,2_HI,102576,249290,21871
2021,2_IA,136782,344307,34906
2021,2_ID,105510,274516,43915
2021,2_IL,161689,435518,66896
2021,2_IN,105415,313832,67032
2021,2_KS,156782,387130,51140
2021,2_KY,114124,372908,55366
2021,2_LA,233076,491864,103432
2021,2_MA,188141,238205,30198
2021,2_MD,264361,305130,38426
2021,2_ME,100454,283983,28738
2021,2_MI,48892,210488,28408
2021,2_MN,160863,191326,21271
2021,2_MO,200506,167241,17824
2021,2_MS,125154,369643,80278
2021,2_MT,91777,213948,23523
2021,2_NC,115168,79674,10786
2021,2_NE,189631,269080,41399
2021,2_NH,166705,281089,29493
2021,2_NJ,124593,280934,45684
2021,2_NM,50546,152967,36060
2021,2_NV,115581,295845,55076
2021,2_NY,121274,203744,33715
2021,2_OH,59723,251128,42457
2021,2_OK,104455,408173,75069
2021,2_OR,79322,264048,49727
2021,2_PA,89661,254269,61697
2021,2_RI,131743,254972,34934
2021,2_SC,69344,167519,25440
2021,2_TN,107148,198176,28718
2021,2_TX,236653,451894,96151
2021,2_UT,226916,458226,69575
2021,2_VA,181279,324368,34911
2021,2_WA,84039,182973,22011
2021,2_WI,182888,189361,16404
2021,2_WV,124320,370968,47006
2021,20_CA,55726,158122,43025
2021,20_FL,197298,393354,75354
2021,20_NY,167509,221022,29595
2021,20_TX,182977,381415,75458
2021,21_CA,8293,61459,33666
2021,21_FL,105797,250791,51017
2021,21_NY,120703,329474,49146
2021,21_TX,47996,86354,11394
2021,22_CA,91598,445363,173541
2021,22_FL,146290,249329,57850
2021,22_NY,132699,270982,39578
2021,22_TX,15058,28092,7289
2021,23_CA,121328,499395,123317
2021,23_FL,61810,75052,8741
2021,23_NY,111081,257765,30604
2021,23_TX,95061,181900,53061
2021,24_CA,124514,257975,58339
2021,24_FL,122442,261206,61602
2021,24_NY,192863,432382,56164
2021,24_TX,349356,311629,86101
2021,25_CA,66541,266713,83622
2021,25_FL,231853,357710,48025
2021,25_NY,129110,222467,35412
2021,25_TX,161047,448208,106842
2021,26_CA,145242,272148,71269
2021,26_FL,60895,173791,40553
2021,26_NY,171291,302971,41596
2021,26_TX,337908,342730,45115
2021,27_CA,154014,307754,75128
2021,27_FL,290827,409942,90471
2021,27_TX,80057,316644,70267
2021,28_CA,210941,335751,75806
2021,28_FL,78343,155115,44466
2021,28_TX,156666,495449,145425
2021,29_CA,63758,165661,74271
2021,29_TX,2872,22709,15708
2021,3_AL,82034,271490,51494
2021,3_AR,118946,247773,51618
2021,3_AZ,25687,106580,53035
2021,3_CA,221887,398895,50777
2021,3_CO,112571,261514,40625
2021,3_CT,133732,201814,25849
2021,3_FL,127207,361744,66915
2021,3_GA,78688,189281,33630
2021,3_IA,136420,212674,30258
2021,3_IL,411440,448127,104085
2021,3_IN,93907,253331,46295
2021,3_KS,213478,191604,22447
2021,3_KY,105395,197503,32899
2021,3_LA,106646,326043,64871
2021,3_MA,177497,271976,51801
2021,3_MD,225117,226242,27456
2021,3_MI,229678,429467,54817
2021,3_MN,216846,208285,20281
2021,3_MO,204812,366350,44484
2021,3_MS,92932,286854,53464
2021,3_NC,128524,425321,62834
2021,3_NE,93616,283995,39676
2021,3_NJ,276710,327346,43357
2021,3_NM,117624,357112,78577
2021,3_NV,222493,483294,76972
2021,3_NY,145847,90488,13885
2021,3_OH,250580,321171,48184
2021,3_OK,78015,294891,64692
2021,3_OR,105843,169021,33380
2021,3_PA,239837,320421,55354
2021,3_SC,85493,242479,49736
2021,3_TN,140711,374355,61545
2021,3_TX,299000,342754,53083
2021,3_UT,67259,151962,15720
2021,3_VA,108826,305558,36460
2021,3_WA,139165,353839,47654
2021,3_WI,127635,373107,34779
2021,30_CA,97353,102767,18530
2021,30_TX,155921,429427,155558
2021,31_CA,60255,136078,41149
2021,31_TX,74549,156536,24805
2021,32_CA,438181,426115,88217
2021,32_TX,17197,15314,4125
2021,33_CA,23761,150347,61468
2021,33_TX,16539,40340,22929
2021,34_CA,258311,376184,184572
2021,34_TX,106145,357607,145836
2021,35_CA,65802,132618,34700
2021,35_TX,116793,245391,68524
2021,36_CA,116889,44409,5219
2021,36_TX,69568,226213,57871
2021,37_CA,149638,168400,84000
2021,37_TX,430861,330829,52012
2021,38_CA,216446,452640,107639
2021,38_TX,3805,13593,2473
2021,39_CA,154079,497086,124409
2021,4_AL,71815,298112,65662
2021,4_AR,82960,346883,60277
2021,4_AZ,241133,394612,67993
2021,4_CA,129414,289701,53502
2021,4_CO,110166,121884,15470
2021,4_CT,244036,214394,47235
2021,4_FL,92879,283915,47008
2021,4_GA,55656,91286,15207
2021,4_IA,110203,322504,39809
2021,4_IL,110202,269558,93148
2021,4_IN,163847,377636,52669
2021,4_KS,118348,271856,46101
2021,4_KY,184864,378555,53071
2021,4_LA,83562,321525,65620
2021,4_MA,255641,263815,38408
2021,4_MD,183199,324876,75197
2021,4_MI,64678,149518,19873
2021,4_MN,157791,198598,36491
2021,4_MO,101806,285105,34717
2021,4_MS,70169,239287,42289
2021,4_NC,193067,207909,39133
2021,4_NJ,103797,164652,18787
2021,4_NV,41189,152007,24867
2021,4_NY,242721,278485,48826
2021,4_OH,69689,211109,24653
2021,4_OK,91839,243073,33294
2021,4_OR,101203,259804,32970
2021,4_PA,130933,141335,13889
2021,4_SC,162893,309208,55890
2021,4_TN,84105,261315,43681
2021,4_TX,38269,124989,20510
2021,4_UT,200339,356655,37628
2021,4_VA,88745,216685,39128
2021,4_WA,89622,269472,89887
2021,4_WI,108692,247184,50666
2021,40_CA,58930,78449,17539
2021,41_CA,23011,52442,8663
2021,42_CA,68365,127722,47205
2021,43_CA,163586,313904,125129
