Year,cd,Less_than_$5000,$5000_to_$9999,$10000_to_$14999,$15000_to_$19999,$20000_to_$24999,$25000_to_$34999,$35000_to_$49999,$50000_to_$74999,$75000_to_$99999,$100000_to_$149999,$150000_or_more
2021,0_DE,11280,7403,12466,11838,13579,30231,43593,66273,53728,67002,65188
2021,0_ND,8675,8239,11963,11556,13032,26348,36534,56280,44052,56675,44150
2021,0_PR,168882,130319,137111,121587,96820,151568,143969,127706,55027,38617,25184
2021,0_SD,8738,7131,13222,12760,14660,31472,43706,62607,50368,56426,36946
2021,0_VT,6117,4702,12115,9917,10502,21892,30739,46717,36387,45741,37685
2021,0_WY,5334,5102,7506,8046,8015,18242,23263,38455,30327,37949,27600
2021,1_AL,10174,7594,12868,13186,11845,25220,35384,44362,31406,35032,26730
2021,1_AR,14073,14858,24975,23055,23214,41551,53918,65901,40908,40311,24375
2021,1_AZ,10384,5768,9832,12003,13599,27315,43118,60374,47721,63621,88375
2021,1_CA,8809,5868,14003,11076,12315,23950,32990,44480,33271,38312,32504
2021,1_CO,6838,5947,8030,6393,7708,15793,23673,39693,28457,40226,54844
2021,1_CT,9096,7194,11056,9142,9335,20353,27987,42395,36944,50581,53934
2021,1_FL,8621,6541,10541,11623,12610,28774,38904,57239,41974,50993,38764
2021,1_GA,10920,8311,12654,13041,13836,27574,36114,53453,37677,42350,31747
2021,1_HI,6764,4901,6358,5716,6984,14831,25124,41417,37557,54753,70074
2021,1_IA,9354,8589,14045,13757,15072,29643,44925,63877,47779,58916,43488
2021,1_ID,11107,6981,14201,15559,17026,35464,52537,83550,57295,67627,49937
2021,1_IL,2787,1304,2079,1820,1256,2773,4765,7787,6159,12451,16118
2021,1_IN,9889,6556,10787,10533,11543,24883,33011,47650,36099,46409,32479
2021,1_KS,5072,4534,8687,8639,9542,19846,29439,40073,27272,28496,17595
2021,1_KY,9798,8993,15254,11702,12771,25161,31761,41562,28062,26381,15640
2021,1_LA,6675,6222,8805,9377,8240,17505,21938,32767,26810,30870,29423
2021,1_MA,9646,8897,17368,15799,13929,29350,36447,55646,40188,55982,53130
2021,1_MD,7312,5358,7946,9016,8751,18979,27913,42243,37525,51706,54596
2021,1_ME,7133,4929,9779,10035,9620,20085,31501,49029,42219,50713,46039
2021,1_MI,10157,9480,16326,17199,17538,36710,50613,66843,46193,44362,26561
2021,1_MN,6672,5233,11645,11556,12521,25655,38010,57681,46206,57094,43155
2021,1_MO,13865,11637,16652,14081,15713,34240,41437,55791,34165,35639,26603
2021,1_MS,9532,8500,14692,14334,13711,26801,34060,45270,35820,35221,23736
2021,1_MT,6203,5740,10288,8575,10591,22229,27669,41597,27886,31730,26560
2021,1_NC,7975,7923,13345,12149,12362,18838,27435,32375,20624,20142,11640
2021,1_NE,3910,3072,4718,5771,5735,14375,19512,30493,20357,26149,19606
2021,1_NH,4703,3260,7298,7098,7071,14689,23485,39447,32462,46986,53099
2021,1_NJ,8646,5891,10797,9147,11162,21730,26497,44804,38030,56220,62716
2021,1_NM,13385,11012,16063,14938,14999,31089,40540,55188,36396,44658,32808
2021,1_NV,13440,8459,11754,11147,12039,24270,31371,42197,26658,26644,19198
2021,1_NY,7379,3710,7074,7160,7933,15093,24066,43211,38184,72149,129370
2021,1_OH,16790,14743,18628,19168,21146,40589,56520,85290,66500,89408,96930
2021,1_OK,7795,5284,7953,8380,9184,20899,28384,39364,26828,32139,30280
2021,1_OR,6359,4950,7520,6696,7331,15522,24286,36671,31434,43648,54159
2021,1_PA,6975,4261,7299,9395,9121,21456,31449,55472,48859,75022,108497
2021,1_RI,4158,3903,7454,6424,6014,12535,16017,22784,19850,27710,30149
2021,1_SC,6143,3029,4446,4944,7197,13395,20241,32034,27926,34455,38988
2021,1_TN,11699,10867,19075,21552,19642,37295,49229,61913,40306,38357,25172
2021,1_TX,7969,6690,10974,10172,10919,22918,28207,40978,29129,30015,22899
2021,1_UT,3876,3076,4867,4290,5559,14522,21448,35571,29526,37268,26577
2021,1_VA,8014,5953,8567,9698,10491,22319,34212,56420,45664,65090,65074
2021,1_WA,7203,5253,8365,8065,8756,19747,30611,59356,53999,87451,129391
2021,1_WI,9344,6891,13509,12763,16104,31830,47891,76390,57897,72960,53722
2021,1_WV,16633,16335,23485,23969,22074,40140,50489,62231,39968,40565,24524
2021,10_CA,8352,5186,9275,6263,7046,16376,24591,45859,41662,74504,167277
2021,10_FL,14636,8902,14123,13674,18168,34803,50911,69594,49041,55641,49263
2021,10_GA,9307,6630,10785,11112,11560,24553,32373,46253,32080,38668,28562
2021,10_IL,6457,3857,5823,6280,7694,16061,21477,35885,30163,47151,86141
2021,10_MI,8070,5942,10462,11623,12659,26382,38846,53140,41485,48631,34280
2021,10_NC,12598,9233,20190,19678,19923,40053,56149,71883,50759,53169,40310
2021,10_NJ,15196,12667,19325,14595,14270,29514,37551,57352,39779,52455,62151
2021,10_NY,15891,12371,20750,14848,14037,27123,34653,49981,43088,63547,137125
2021,10_OH,10725,10581,14742,14867,14459,30673,41417,56660,40434,43556,33159
2021,10_PA,8823,7440,10721,11738,14288,28576,44276,70343,55449,67790,53403
