Year,cd,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration
2019,16_NY,434,15572,10937,7101,17342,11903,8310,30329,34771,67460,17497,11659,12421,139212,317,13960,7177,4597,10474,9706,5066,19713,21837,20650,11621,5876,8218,106524,117,1612,3760,2504,6868,2197,3244,10616,12934,46810,5876,5783,4203
2019,14_NY,114,6243,3334,1843,7303,7410,3103,7457,10737,24868,9745,4341,4449,49549,110,5672,1830,1043,4679,5768,1850,4167,6063,7122,6284,2232,2729,41398,4,571,1504,800,2624,1642,1253,3290,4674,17746,3461,2109,1720
2019,17_NY,526,16567,13872,6994,17923,10623,7043,22853,32081,62507,12723,10110,12724,131245,304,15129,9212,4849,11512,8577,4526,14462,20579,19922,8177,5079,8917,95301,222,1438,4660,2145,6411,2046,2517,8391,11502,42585,4546,5031,3807
2019,18_NY,2364,15952,17945,7034,22576,15330,5227,15156,23876,60723,13089,9970,16256,128801,1798,14824,12960,5172,13395,12505,3437,7773,14313,17793,7724,6306,10801,96697,566,1128,4985,1862,9181,2825,1790,7383,9563,42930,5365,3664,5455
2019,19_NY,4776,18677,30784,7119,25709,13078,4841,14687,22808,80108,16754,11339,17876,151487,3862,17419,23196,5353,15830,10294,3098,6425,14333,25209,9301,6660,10507,117069,914,1258,7588,1766,9879,2784,1743,8262,8475,54899,7453,4679,7369
2019,4_NY,339,22241,16165,11598,27342,23542,9794,36202,40569,94972,16796,12760,21036,187387,314,20413,11017,8028,17568,18753,6070,21219,24231,28310,10742,6850,13872,145969,25,1828,5148,3570,9774,4789,3724,14983,16338,66662,6054,5910,7164
2019,3_NY,246,7665,8221,6459,11075,7596,4899,22278,23137,37096,7048,5338,6263,89296,186,6775,5822,4685,7159,5943,3069,14961,15019,13520,4880,2794,4483,58025,60,890,2399,1774,3916,1653,1830,7317,8118,23576,2168,2544,1780
2019,7_NY,717,34671,22396,12760,46252,41895,30918,51646,99924,121059,56214,27651,25784,310887,592,31872,13749,8101,25786,32750,16786,30699,56723,34215,34554,12031,13029,261000,125,2799,8647,4659,20466,9145,14132,20947,43201,86844,21660,15620,12755
2019,9_NY,57,5657,3066,2129,8366,9878,3213,8439,11951,39501,7455,5199,5444,54696,51,5320,2018,1468,5321,7703,1655,5155,7234,9381,4436,2404,2550,55659,6,337,1048,661,3045,2175,1558,3284,4717,30120,3019,2795,2894
2019,8_NY,316,14769,6403,6036,18652,22296,6283,20162,23405,77222,15561,9971,11978,119175,239,13472,4249,4437,11743,17781,3803,11336,13390,18491,9709,4560,5965,113879,77,1297,2154,1599,6909,4515,2480,8826,10015,58731,5852,5411,6013
2019,6_NY,353,23700,10329,6986,23135,20663,5498,20509,25453,45573,35845,19602,9535,147305,263,21876,6567,4640,14355,17960,3254,12011,14275,12559,25400,8282,5863,99876,90,1824,3762,2346,8780,2703,2244,8498,11178,33014,10445,11320,3672
2019,5_NY,228,17881,8759,5834,22747,30819,6781,23621,29126,88029,18047,13016,20871,149302,168,16417,5981,3810,13579,23571,3936,12814,16693,22699,11341,6886,11407,136457,60,1464,2778,2024,9168,7248,2845,10807,12433,65330,6706,6130,9464
